Percentage served,Time in ms
0,7.591
1,12.281
2,12.602
3,12.842
4,13.066
5,13.187
6,13.281
7,13.358
8,13.437
9,13.488
10,13.532
11,13.578
12,13.614
13,13.652
14,13.683
15,13.722
16,13.764
17,13.791
18,13.826
19,13.866
20,13.913
21,13.950
22,13.981
23,14.011
24,14.045
25,14.074
26,14.100
27,14.132
28,14.162
29,14.195
30,14.225
31,14.251
32,14.272
33,14.296
34,14.321
35,14.346
36,14.373
37,14.398
38,14.425
39,14.449
40,14.470
41,14.493
42,14.519
43,14.549
44,14.579
45,14.614
46,14.641
47,14.664
48,14.698
49,14.732
50,14.772
51,14.808
52,14.846
53,14.872
54,14.904
55,14.938
56,14.974
57,15.009
58,15.045
59,15.080
60,15.122
61,15.153
62,15.196
63,15.237
64,15.280
65,15.320
66,15.368
67,15.414
68,15.455
69,15.492
70,15.524
71,15.574
72,15.614
73,15.661
74,15.700
75,15.746
76,15.797
77,15.841
78,15.891
79,15.945
80,15.995
81,16.037
82,16.082
83,16.161
84,16.239
85,16.288
86,16.376
87,16.459
88,16.527
89,16.593
90,16.683
91,16.770
92,16.949
93,17.096
94,17.269
95,17.426
96,17.680
97,18.090
98,19.184
99,20.054
100,23.204
