Percentage served,Time in ms
0,9.677
1,15.266
2,15.700
3,15.947
4,16.120
5,16.296
6,16.408
7,16.496
8,16.567
9,16.649
10,16.717
11,16.784
12,16.835
13,16.895
14,16.949
15,17.008
16,17.055
17,17.108
18,17.137
19,17.176
20,17.207
21,17.241
22,17.269
23,17.307
24,17.338
25,17.368
26,17.412
27,17.449
28,17.481
29,17.515
30,17.543
31,17.581
32,17.620
33,17.648
34,17.670
35,17.697
36,17.722
37,17.747
38,17.776
39,17.805
40,17.834
41,17.866
42,17.902
43,17.939
44,17.985
45,18.038
46,18.083
47,18.119
48,18.167
49,18.208
50,18.244
51,18.272
52,18.305
53,18.337
54,18.370
55,18.402
56,18.439
57,18.476
58,18.514
59,18.554
60,18.594
61,18.635
62,18.685
63,18.722
64,18.770
65,18.821
66,18.880
67,18.932
68,18.986
69,19.045
70,19.097
71,19.149
72,19.195
73,19.251
74,19.311
75,19.365
76,19.424
77,19.481
78,19.540
79,19.620
80,19.694
81,19.754
82,19.803
83,19.864
84,19.913
85,19.983
86,20.065
87,20.149
88,20.242
89,20.378
90,20.509
91,20.622
92,20.826
93,21.061
94,21.289
95,21.510
96,21.748
97,22.020
98,22.440
99,23.082
100,25.279
