Percentage served,Time in ms
0,10.454
1,15.660
2,15.978
3,16.251
4,16.414
5,16.511
6,16.593
7,16.685
8,16.739
9,16.796
10,16.863
11,16.953
12,17.015
13,17.069
14,17.114
15,17.154
16,17.198
17,17.245
18,17.302
19,17.355
20,17.401
21,17.450
22,17.490
23,17.529
24,17.569
25,17.614
26,17.656
27,17.706
28,17.754
29,17.795
30,17.827
31,17.863
32,17.898
33,17.932
34,17.971
35,18.012
36,18.041
37,18.077
38,18.103
39,18.129
40,18.158
41,18.194
42,18.228
43,18.271
44,18.311
45,18.344
46,18.368
47,18.397
48,18.435
49,18.463
50,18.501
51,18.536
52,18.563
53,18.594
54,18.620
55,18.650
56,18.691
57,18.726
58,18.761
59,18.800
60,18.834
61,18.869
62,18.908
63,18.953
64,18.995
65,19.036
66,19.079
67,19.121
68,19.180
69,19.220
70,19.260
71,19.311
72,19.345
73,19.409
74,19.463
75,19.509
76,19.562
77,19.622
78,19.666
79,19.717
80,19.781
81,19.844
82,19.906
83,19.981
84,20.053
85,20.111
86,20.178
87,20.257
88,20.366
89,20.462
90,20.561
91,20.686
92,20.876
93,21.055
94,21.226
95,21.482
96,21.726
97,22.013
98,22.267
99,23.257
100,26.480
